Midland Bank, Ltd.	/ˈmɪdlənd bæŋk, ˈlɪmɪtɪd/	米兰银行(米特兰银行)
consumer behavior	/kənˈsuːmər bɪˈheɪvjər/	消费者行为
consumer choice	/kənˈsuːmər tʃɔɪs/	消费者选择
consumer equilibrium	/kənˈsuːmər ˌiːkwɪˈlɪbriəm/	消费者均衡
consumer optimization	/kənˈsuːmər ˌɒptɪmaɪˈzeɪʃən/	消费者优化
consumer preference	/kənˈsuːmər ˈprɛfərəns/	消费者偏好
consumer surplus	/kənˈsuːmər ˈsɜːrpləs/	消费者剩余
consumer theory	/kənˈsuːmər ˈθɪəri/	消费者理论
consumption	/kənˈsʌmpʃən/	消费
consumption bundle	/kənˈsʌmpʃən ˈbʌndəl/	消费束
consumption combination	/kənˈsʌmpʃən ˌkɒmbɪˈneɪʃən/	消费组合
consumption possibility curve	/kənˈsʌmpʃən ˌpɒsɪˈbɪlɪti kɜːrv/	消费可能曲线
consumption possibility frontier	/kənˈsʌmpʃən ˌpɒsɪˈbɪlɪti frʌnˈtɪər/	消费可能性前沿
consumption set	/kənˈsʌmpʃən sɛt/	消费集
consumption space	/kənˈsʌmpʃən speɪs/	消费空间
continuity	/ˌkɒntɪˈnjuːɪti/	连续性
continuous function	/kənˈtɪnjuəs ˈfʌŋkʃən/	连续函数
contract curve	/ˈkɒntrækt kɜːrv/	契约曲线
convex	/ˈkɒnvɛks/	凸
convex function	/ˈkɒnvɛks ˈfʌŋkʃən/	凸函数
convex preference	/ˈkɒnvɛks ˈprɛfərəns/	凸偏好
convex set	/ˈkɒnvɛks sɛt/	凸集
corporation	/ˌkɔːrpəˈreɪʃən/	公司
cost	/kɒst/	成本
cost benefit analysis	/kɒst ˈbɛnɪfɪt əˈnæləsɪs/	成本收益分析
cost function	/kɒst ˈfʌŋkʃən/	成本函数
cost minimization	/kɒst ˌmɪnɪmaɪˈzeɪʃən/	成本极小化
Cournot equilibrium	/kʊərˈnoʊ ˌiːkwɪˈlɪbriəm/	古诺均衡
Cournot model	/kʊərˈnoʊ ˈmɒdəl/	古诺模型
cross-price elasticity	/krɒs praɪs ˌiːlæsˈtɪsɪti/	交叉价格弹性
dead-weights loss	/dɛd weɪts lɒs/	重负损失
decreasing cost industry	/dɪˈkriːsɪŋ kɒst ˈɪndəstri/	成本递减产业
decreasing returns to scale	/dɪˈkriːsɪŋ rɪˈtɜːrnz tu skeɪl/	规模报酬递减
deduction	/dɪˈdʌkʃən/	演绎法
demand	/dɪˈmɑːnd/	需求
demand curve	/dɪˈmɑːnd kɜːrv/	需求曲线
demand elasticity	/dɪˈmɑːnd ˌiːlæsˈtɪsɪti/	需求弹性
demand function	/dɪˈmɑːnd ˈfʌŋkʃən/	需求函数
demand price	/dɪˈmɑːnd praɪs/	需求价格
demand schedule	/dɪˈmɑːnd ˈʃɛdjuːl/	需求表
depreciation	/dɪˌpriːʃiˈeɪʃən/	折旧
derivative	/dɪˈrɪvətɪv/	导数
derived demand	/dɪˈraɪvd dɪˈmɑːnd/	派生需求
difference equation	/ˈdɪfərəns ɪˈkweɪʒən/	差分方程
differential equation	/ˌdɪfəˈrɛnʃəl ɪˈkweɪʒən/	微分方程
differentiated good	/ˌdɪfəˈrɛnʃieɪtɪd ɡʊd/	差异商品
differentiated oligopoly	/ˌdɪfəˈrɛnʃieɪtɪd ˌɒlɪˈɡɒpəli/	差异寡头
diminishing marginal substitution	/dɪˈmɪnɪʃɪŋ ˈmɑːrdʒɪnəl ˌsʌbstɪˈtjuːʃən/	边际替代率递减
diminishing marginal return	/dɪˈmɪnɪʃɪŋ ˈmɑːrdʒɪnəl rɪˈtɜːrn/	收益递减
diminishing marginal utility	/dɪˈmɪnɪʃɪŋ ˈmɑːrdʒɪnəl juːˈtɪlɪti/	边际效用递减
direct approach	/dɪˈrɛkt əˈproʊtʃ/	直接法
direct taxes	/dɪˈrɛkt ˈtæksɪz/	直接税
discounting	/dɪsˈkaʊntɪŋ/	贴现、折扣
diseconomies of scale	/ˌdɪsɪˈkɒnəmiz əv skeɪl/	规模不经济
disequilibrium	/ˌdɪsˌiːkwɪˈlɪbriəm/	非均衡
distribution	/ˌdɪstrɪˈbjuːʃən/	分配
division of labour	/dɪˈvɪʒən əv ˈleɪbər/	劳动分工
distribution theory of marginal productivity	/ˌdɪstrɪˈbjuːʃən ˈθɪəri əv ˈmɑːrdʒɪnəl ˌproʊdʌkˈtɪvɪti/	边际生产率分配论
duopoly	/djuːˈɒpəli/	双头垄断、双寡
duality	/djuːˈælɪti/	对偶
durable goods	/ˈdjʊərəbəl ɡʊdz/	耐用品
dynamic analysis	/daɪˈnæmɪk əˈnæləsɪs/	动态分析
dynamic models	/daɪˈnæmɪk ˈmɒdəlz/	动态模型
economic agents	/ˌiːkəˈnɒmɪk ˈeɪdʒənts/	经济行为者
economic cost	/ˌiːkəˈnɒmɪk kɒst/	经济成本
economic efficiency	/ˌiːkəˈnɒmɪk ɪˈfɪʃənsi/	经济效率
economic goods	/ˌiːkəˈnɒmɪk ɡʊdz/	经济物品
economic man	/ˌiːkəˈnɒmɪk mæn/	经济人
economic mode	/ˌiːkəˈnɒmɪk moʊd/	经济模型
economic profit	/ˌiːkəˈnɒmɪk ˈprɒfɪt/	经济利润
economic region of production	/ˌiːkəˈnɒmɪk ˈriːdʒən əv prəˈdʌkʃən/	生产的经济区域
economic regulation	/ˌiːkəˈnɒmɪk ˌrɛɡjuˈleɪʃən/	经济调节
economic rent	/ˌiːkəˈnɒmɪk rɛnt/	经济租金
exchange	/ɪksˈtʃeɪndʒ/	交换
economics	/ˌiːkəˈnɒmɪks/	经济学
exchange efficiency	/ɪksˈtʃeɪndʒ ɪˈfɪʃənsi/	交换效率
economy	/ɪˈkɒnəmi/	经济
exchange contract curve	/ɪksˈtʃeɪndʒ ˈkɒntrækt kɜːrv/	交换契约曲线
economies of scale	/ɪˈkɒnəmiz əv skeɪl/	规模经济
Edgeworth box diagram	/ˈɛdʒwɜːrθ bɒks ˈdaɪəɡræm/	埃奇沃思图
exclusion	/ɪkˈskluːʒən/	排斥性、排他性
Edgeworth contract curve	/ˈɛdʒwɜːrθ ˈkɒntrækt kɜːrv/	埃奇沃思契约线
Edgeworth model	/ˈɛdʒwɜːrθ ˈmɒdəl/	埃奇沃思模型
efficiency	/ɪˈfɪʃənsi/	效率，效益
efficiency parameter	/ɪˈfɪʃənsi pəˈræmɪtər/	效率参数
elasticity	/ˌiːlæsˈtɪsɪti/	弹性
elasticity of substitution	/ˌiːlæsˈtɪsɪti əv ˌsʌbstɪˈtjuːʃən/	替代弹性
endogenous variable	/ɛnˈdɒdʒɪnəs ˈvɛəriəbəl/	内生变量
endowment	/ɪnˈdaʊmənt/	禀赋
endowment of resources	/ɪnˈdaʊmənt əv ˈriːsɔːrsɪz/	资源禀赋
Engel curve	/ˈɛŋɡəl kɜːrv/	恩格尔曲线
entrepreneur	/ˌɒntrəprəˈnɜːr/	企业家
entrepreneurship	/ˌɒntrəprəˈnɜːrʃɪp/	企业家才能
entry barriers	/ˈɛntri ˈbæriərz/	进入壁垒
entry/exit decision	/ˈɛntri/ˈɛɡzɪt dɪˈsɪʒən/	进出决策
envelope curve	/ˈɛnvəloʊp kɜːrv/	包络线
equilibrium	/ˌiːkwɪˈlɪbriəm/	均衡
equilibrium condition	/ˌiːkwɪˈlɪbriəm kənˈdɪʃən/	均衡条件
equilibrium price	/ˌiːkwɪˈlɪbriəm praɪs/	均衡价格
equilibrium quantity	/ˌiːkwɪˈlɪbriəm ˈkwɒntɪti/	均衡产量
equity	/ˈɛkwɪti/	公平
equivalent variation in income	/ɪˈkwɪvələnt ˌvɛəriˈeɪʃən ɪn ˈɪnkʌm/	收入等价变动
intercept	/ˈɪntərsɛpt/	截距
interest	/ˈɪntrəst/	利息
interest rate	/ˈɪntrəst reɪt/	利息率
intermediate goods	/ˌɪntərˈmiːdiət ɡʊdz/	中间产品
internalization of externalities	/ɪnˌtɜːrnəlaɪˈzeɪʃən əv ˌɛkstərˈnælətiz/	外部性内部化
invention	/ɪnˈvɛnʃən/	发明
inverse demand function	/ˌɪnˈvɜːrs dɪˈmɑːnd ˈfʌŋkʃən/	逆需求函数
investment	/ɪnˈvɛstmənt/	投资
invisible hand	/ɪnˈvɪzəbəl hænd/	看不见的手
isocost line	/ˈaɪsoʊkɒst laɪn/	等成本线
isoprofit curve	/ˈaɪsoʊˌprɒfɪt kɜːrv/	等利润曲线
isoquant curve	/ˈaɪsoʊkwɒnt kɜːrv/	等产量曲线
isoquant map	/ˈaɪsoʊkwɒnt mæp/	等产量族
kinked-demand curve	/kɪŋkt dɪˈmɑːnd kɜːrv/	弯折的需求曲线
labour	/ˈleɪbər/	劳动
labour demand	/ˈleɪbər dɪˈmɑːnd/	劳动需求
labour supply	/ˈleɪbər səˈplaɪ/	劳动供给
labour theory of value	/ˈleɪbər ˈθɪəri əv ˈvæljuː/	劳动价值论
labour unions	/ˈleɪbər ˈjuːnjənz/	工会
laissez faire	/ˌlɛseɪ ˈfɛər/	自由放任
Lagrangian function	/ləˈɡrɑːndʒiən ˈfʌŋkʃən/	拉格朗日函数
Lagrangian multiplier	/ləˈɡrɑːndʒiən ˈmʌltɪplaɪər/	拉格朗日乘数
land	/lænd/	土地
law	/lɔː/	法则
law of demand and supply	/lɔː əv dɪˈmɑːnd ənd səˈplaɪ/	供需法
law of diminishing marginal utility	/lɔː əv dɪˈmɪnɪʃɪŋ ˈmɑːrdʒɪnəl juːˈtɪlɪti/	边际效用递减法则
law of diminishing marginal rate of substitution	/lɔː əv dɪˈmɪnɪʃɪŋ ˈmɑːrdʒɪnəl reɪt əv ˌsʌbstɪˈtjuːʃən/	边际替代率递减法则
law of diminishing marginal rate of technical substitution	/lɔː əv dɪˈmɪnɪʃɪŋ ˈmɑːrdʒɪnəl reɪt əv ˈtɛknɪkəl ˌsʌbstɪˈtjuːʃən/	边际技术替代率递减法则
law of increasing cost	/lɔː əv ɪnˈkriːsɪŋ kɒst/	成本递增法则
law of one price	/lɔː əv wʌn praɪs/	单一价格法则
leader-follower model	/ˈliːdər ˈfɒloʊər ˈmɒdəl/	领导者--跟随者模型
least-cost combination of inputs	/liːst kɒst ˌkɒmbɪˈneɪʃən əv ˈɪnpʊts/	最低成本的投入组合
leisure	/ˈliːʒər/	闲暇
Leontief production function	/liˈɒntiɛf prəˈdʌkʃən ˈfʌŋkʃən/	列昂节夫生产函数
licenses	/ˈlaɪsənsɪz/	许可证
linear demand function	/ˈlɪniər dɪˈmɑːnd ˈfʌŋkʃən/	线性需求函数
linear homogeneity	/ˈlɪniər ˌhoʊmoʊdʒəˈniːɪti/	线性齐次性
linear homogeneous production function	/ˈlɪniər ˌhoʊmoʊˈdʒiːniəs prəˈdʌkʃən ˈfʌŋkʃən/	线性齐次生产函数
long run	/lɒŋ rʌn/	长期
long run average cost	/lɒŋ rʌn ˈævərɪdʒ kɒst/	长期平均成本
long run equilibrium	/lɒŋ rʌn ˌiːkwɪˈlɪbriəm/	长期均衡
long run industry supply curve	/lɒŋ rʌn ˈɪndəstri səˈplaɪ kɜːrv/	长期产业供给曲线
long run marginal cost	/lɒŋ rʌn ˈmɑːrdʒɪnəl kɒst/	长期边际成本
long run total cost	/lɒŋ rʌn ˈtoʊtəl kɒst/	长期总成本
Lorenz curve	/ˈlɒrɛns kɜːrv/	洛伦兹曲线
loss minimization	/lɒs ˌmɪnɪmaɪˈzeɪʃən/	损失极小化
lump sum tax	/lʌmp sʌm tæks/	一次性征税
luxury	/ˈlʌkʃəri/	奢侈品
macroeconomics	/ˌmækroʊˌiːkəˈnɒmɪks/	宏观经济学
marginal	/ˈmɑːrdʒɪnəl/	边际的
marginal benefit	/ˈmɑːrdʒɪnəl ˈbɛnɪfɪt/	边际收益
marginal cost	/ˈmɑːrdʒɪnəl kɒst/	边际成本
marginal cost pricing	/ˈmɑːrdʒɪnəl kɒst ˈpraɪsɪŋ/	边际成本定价
marginal cost of factor	/ˈmɑːrdʒɪnəl kɒst əv ˈfæktər/	边际要素成本
marginal period	/ˈmɑːrdʒɪnəl ˈpɪəriəd/	市场期
marginal physical productivity	/ˈmɑːrdʒɪnəl ˈfɪzɪkəl ˌproʊdʌkˈtɪvɪti/	实际实物生产率
marginal product	/ˈmɑːrdʒɪnəl ˈprɒdʌkt/	边际产量
marginal product of capital	/ˈmɑːrdʒɪnəl ˈprɒdʌkt əv ˈkæpɪtəl/	资本的边际产量
marginal product of labour	/ˈmɑːrdʒɪnəl ˈprɒdʌkt əv ˈleɪbər/	劳动的边际产量
marginal productivity	/ˈmɑːrdʒɪnəl ˌproʊdʌkˈtɪvɪti/	边际生产率
marginal rate of substitution	/ˈmɑːrdʒɪnəl reɪt əv ˌsʌbstɪˈtjuːʃən/	边际替代率
marginal rate of transformation	/ˈmɑːrdʒɪnəl reɪt əv ˌtrænsfərˈmeɪʃən/	边际转换率
marginal returns	/ˈmɑːrdʒɪnəl rɪˈtɜːrnz/	边际回报
marginal revenue	/ˈmɑːrdʒɪnəl ˈrɛvənjuː/	边际收益
marginal revenue product	/ˈmɑːrdʒɪnəl ˈrɛvənjuː ˈprɒdʌkt/	边际收益产品
marginal revolution	/ˈmɑːrdʒɪnəl ˌrɛvəˈluːʃən/	边际革命
marginal social benefit	/ˈmɑːrdʒɪnəl ˈsoʊʃəl ˈbɛnɪfɪt/	社会边际收益
marginal social cost	/ˈmɑːrdʒɪnəl ˈsoʊʃəl kɒst/	社会边际成本
marginal utility	/ˈmɑːrdʒɪnəl juːˈtɪlɪti/	边际效用
marginal value products	/ˈmɑːrdʒɪnəl ˈvæljuː ˈprɒdʌkts/	边际价值产品
market	/ˈmɑːrkɪt/	市场
market clearance	/ˈmɑːrkɪt ˈklɪərəns/	市场结清, 市场出清
market demand	/ˈmɑːrkɪt dɪˈmɑːnd/	市场需求
market economy	/ˈmɑːrkɪt ɪˈkɒnəmi/	市场经济
market equilibrium	/ˈmɑːrkɪt ˌiːkwɪˈlɪbriəm/	市场均衡
market failure	/ˈmɑːrkɪt ˈfeɪljər/	市场失败
market mechanism	/ˈmɑːrkɪt ˈmɛkənɪzəm/	市场机制
market structure	/ˈmɑːrkɪt ˈstrʌktʃər/	市场结构
market separation	/ˈmɑːrkɪt ˌsɛpəˈreɪʃən/	市场分割
market regulation	/ˈmɑːrkɪt ˌrɛɡjuˈleɪʃən/	市场调节
market share	/ˈmɑːrkɪt ʃɛər/	市场份额
markup pricing	/ˈmɑːrkʌp ˈpraɪsɪŋ/	加成定价法
Marshallian demand function	/mɑːrˈʃæliən dɪˈmɑːnd ˈfʌŋkʃən/	马歇尔需求函数
maximization	/ˌmæksɪmaɪˈzeɪʃən/	极大化
microeconomics	/ˌmaɪkroʊˌiːkəˈnɒmɪks/	微观经济学
minimum wage	/ˈmɪnɪməm weɪdʒ/	最低工资
misallocation of resources	/ˌmɪsæləˈkeɪʃən əv ˈriːsɔːrsɪz/	资源误置
mixed economy	/mɪkst ɪˈkɒnəmi/	混合经济
model	/ˈmɒdəl/	模型
money	/ˈmʌni/	货币
monopolistic competition	/məˌnɒpəˈlɪstɪk ˌkɒmpəˈtɪʃən/	垄断竞争
monopolistic exploitation	/məˌnɒpəˈlɪstɪk ˌɛksplɔɪˈteɪʃən/	垄断剥削
monopoly	/məˈnɒpəli/	垄断，卖方垄断
monopoly equilibrium	/məˈnɒpəli ˌiːkwɪˈlɪbriəm/	垄断均衡
monopoly pricing	/məˈnɒpəli ˈpraɪsɪŋ/	垄断定价
monopoly regulation	/məˈnɒpəli ˌrɛɡjuˈleɪʃən/	垄断调控
monopoly rents	/məˈnɒpəli rɛnts/	垄断租金
monopsony	/məˈnɒpsəni/	买方垄断
Nash equilibrium	/næʃ ˌiːkwɪˈlɪbriəm/	纳什均衡
natural monopoly	/ˈnætʃərəl məˈnɒpəli/	自然垄断
natural resources	/ˈnætʃərəl ˈriːsɔːrsɪz/	自然资源
necessary condition	/ˈnɛsəsəri kənˈdɪʃən/	必要条件
necessities	/nəˈsɛsɪtiz/	必需品
net demand	/nɛt dɪˈmɑːnd/	净需求
nonconvex preference	/nɒnˈkɒnvɛks ˈprɛfərəns/	非凸性偏好
nonconvexity	/nɒnkɒnˈvɛksɪti/	非凸性
nonexclusion	/nɒnɪkˈskluːʒən/	非排斥性
nonlinear pricing	/nɒnˈlɪniər ˈpraɪsɪŋ/	非线性定价
nonrivalry	/nɒnˈraɪvəlri/	非对抗性
nonprice competition	/nɒnˈpraɪs ˌkɒmpəˈtɪʃən/	非价格竞争
nonsatiation	/nɒnˌseɪʃiˈeɪʃən/	非饱和性
non-zero-sum game	/nɒn ˈzɪəroʊ sʌm ɡeɪm/	非零和对策
normal goods	/ˈnɔːrməl ɡʊdz/	正常品
normal profit	/ˈnɔːrməl ˈprɒfɪt/	正常利润
normative economics	/ˈnɔːrmətɪv ˌiːkəˈnɒmɪks/	规范经济学
objective function	/əbˈdʒɛktɪv ˈfʌŋkʃən/	目标函数
oligopoly	/ˌɒlɪˈɡɒpəli/	寡头垄断
oligopoly market	/ˌɒlɪˈɡɒpəli ˈmɑːrkɪt/	寡头市场
oligopoly model	/ˌɒlɪˈɡɒpəli ˈmɒdəl/	寡头模型
opportunity cost	/ˌɒpərˈtjuːnɪti kɒst/	机会成本
optimal choice	/ˈɒptɪməl tʃɔɪs/	最佳选择
optimal consumption bundle	/ˈɒptɪməl kənˈsʌmpʃən ˈbʌndəl/	消费束
optimal resource allocation	/ˈɒptɪməl ˈriːsɔːrs ˌæləˈkeɪʃən/	最佳资源配置
optimal scale	/ˈɒptɪməl skeɪl/	最佳规模
optimal solution	/ˈɒptɪməl səˈluːʃən/	最优解
optimization	/ˌɒptɪmaɪˈzeɪʃən/	优化
ordering of optimization preference	/ˈɔːrdərɪŋ əv ˌɒptɪmaɪˈzeɪʃən ˈprɛfərəns/	(社会)偏好排序
ordinal utility	/ˈɔːrdɪnəl juːˈtɪlɪti/	序数效用
ordinary goods	/ˈɔːrdɪnəri ɡʊdz/	一般品
output	/ˈaʊtpʊt/	产量、产出
output elasticity	/ˈaʊtpʊt ˌiːlæsˈtɪsɪti/	产出弹性
output maximization	/ˈaʊtpʊt ˌmæksɪmaɪˈzeɪʃən/	产出极大化
parameter	/pəˈræmɪtər/	参数
Pareto criterion	/pəˈreɪtoʊ kraɪˈtɪəriən/	帕累托标准
Pareto efficiency	/pəˈreɪtoʊ ɪˈfɪʃənsi/	帕累托效率
